angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,_RAJ2000,_DEJ2000
1.911203,J030034.46+450834.1,45.1436086,+45.1428062,0.0354,0.0336,22.1,8.318,8.420,8.315,8.586,9.268,8.589,8.389,0.022,0.021,0.024,0.359,0.021,0.018,0.014,447145401351018543,0000,0,110n,AAAC,22,38,-17,36,0.042,45.1428597413299,3.8134348017518
4.334373,J030115.65+451902.3,45.3152285,+45.3173213,0.2103,0.1953,117.9,16.398,16.204,12.697,9.030,,,,0.071,0.178,,,,,,447145401351027061,0h00,0,0nnn,ABUU,-416,764,-402,802,,45.316612173891,3.9386606903726
3.394986,J030049.56+451219.5,45.2065263,+45.2054300,0.2045,0.1898,126.3,16.387,15.861,11.828,8.939,,,,0.069,0.146,,,,,,447145401351019596,0000,0,0nnn,ABUU,159,775,153,797,,45.2063662593332,4.1060826392555
3.751003,J025811.67+443253.7,44.5486629,+44.5482518,0.4506,0.4161,117.4,17.273,17.317,12.540,8.572,,,,0.136,,,,,,,436143901351052065,0000,0,nnnn,BUUU,2824,1930,866,2016,,44.5475643006423,4.3782150563474
4.686673,J031128.96+475206.0,47.8706956,+47.8683595,0.2540,0.2340,131.0,16.420,17.170,12.165,9.082,,,,0.081,0.501,,,,,,472148401351004778,0000,0,0nnn,ACUU,-1135,855,1852,868,,47.8691125799784,2.4511979650667
1.690255,J031159.67+475952.0,47.9986305,+47.9978028,0.1008,0.0925,114.0,15.045,14.922,12.168,8.482,15.783,15.238,15.211,0.039,0.066,,,0.068,0.081,0.141,472148401351023998,0000,0,00nn,AAUU,-248,251,-18,275,0.470,47.9981356151322,2.5802816659307
4.746782,J031309.02+481722.0,48.2875977,+48.2894500,0.4585,0.4242,122.2,17.158,16.929,12.530,8.942,,,,0.140,,,,,,,472148401351025104,0000,0,nnnn,BUUU,-1,1791,-551,1854,,48.2895709840834,2.8464347473203
3.830549,J031059.10+474452.5,47.7462900,+47.7479239,0.2094,0.1886,120.9,16.274,16.260,12.550,9.115,,,,0.068,0.196,,,,,,472148401351003821,0h00,0,0nnn,ABUU,593,688,130,722,,47.7469599367229,3.0196638062823
2.828004,J031318.32+481937.1,48.3263519,+48.3269841,0.2195,0.2015,125.3,16.465,16.514,12.685,9.057,,,,0.072,0.239,,,,,,472148401351027029,0000,0,0nnn,ABUU,-1292,817,411,849,,48.3262046722251,3.2450375603713
2.884143,J031505.96+484632.2,48.7748623,+48.7756211,0.0464,0.0453,1.0,13.023,13.028,12.500,8.964,13.715,13.303,13.158,0.024,0.027,,,0.027,0.029,0.032,494148401351037018,0000,0,11nn,AAUU,20,69,19,70,0.136,48.774820440062,3.5477672652912
2.332746,J031254.48+481334.2,48.2270080,+48.2261777,0.1956,0.1854,113.8,16.344,15.582,11.895,8.273,,,,0.073,0.111,0.312,,,,,472148401351023890,D000,0,nnnn,ABBU,101,588,557,613,,48.226053382323,3.4239379807472
4.659476,J030809.85+470233.8,47.0410630,+47.0427361,0.0413,0.0393,20.7,12.210,12.213,11.837,8.676,12.721,12.340,12.211,0.024,0.022,0.267,,0.022,0.030,0.025,480146901351035398,0000,0,00nn,AABU,-81,52,14,53,0.035,47.0429388358624,3.1792164695589
4.176168,J030715.44+464845.0,46.8143373,+46.8125035,0.2140,0.1972,126.5,16.416,16.506,12.351,9.139,,,,0.069,0.259,,,,,,458146901351025916,0000,0,0nnn,ABUU,-106,790,-285,814,,46.8135197147237,3.9240619880256
4.813533,J031114.34+474831.7,47.8097813,+47.8088057,0.2479,0.2298,120.2,16.475,17.153,12.192,8.695,,,,0.078,0.489,,,,,,472148401351004303,0000,0,0nnn,ACUU,-246,882,-905,916,,47.810122961988,3.796796901497
3.435647,J030947.54+472658.4,47.4481112,+47.4495828,0.0372,0.0352,11.7,9.615,9.706,9.617,8.651,10.534,9.897,9.718,0.023,0.020,0.039,,0.018,0.017,0.019,480146901351057649,0000,0,011n,AAAU,-8,36,26,35,0.149,47.4487227309513,3.9991659523665
4.782754,J030952.37+472811.4,47.4682266,+47.4698441,0.5014,0.4448,113.6,17.450,16.573,12.104,8.958,,,,0.179,0.241,,,,,,480146901351059233,0000,0,nnnn,BBUU,935,1985,-1230,2126,,47.4685316682255,4.1735276136657
4.130785,J031108.68+474717.6,47.7861974,+47.7882363,0.0568,0.0538,167.8,13.808,13.943,12.570,8.794,14.276,13.922,13.738,0.025,0.041,,,0.027,0.032,0.035,472148401351002982,0000,0,00nn,AAUU,-108,101,245,104,0.064,47.7874744486064,4.183801388949
3.333828,J031129.48+475228.2,47.8728600,+47.8745210,0.0758,0.0726,139.4,14.763,14.526,12.575,8.517,16.636,15.659,15.285,0.032,0.050,,,0.153,0.125,0.138,472148401351003282,0000,0,11nn,AAUU,98,189,-259,196,0.687,47.8739743025369,4.6346930904465
2.324309,J031114.34+474831.7,47.8097813,+47.8088057,0.2479,0.2298,120.2,16.475,17.153,12.192,8.695,,,,0.078,0.489,,,,,,472148401351004303,0000,0,0nnn,ACUU,-246,882,-905,916,,47.8088202170252,4.6552529213116
