angDist,JNAME,ra,dec,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,_RAJ2000,_DEJ2000
2.921871,J031505.96+484632.2,48.774845,+48.775632,0.098,0.095,155,13.029,13.021,11.601,8.832,13.715,13.303,13.158,0.025,0.030,0.177,,0.027,0.029,0.032,494148401241030774,0000,0,11nn,AABU,0.187,48.774820440062,3.5477672652912
2.292568,J031254.48+481333.7,48.227009,+48.226052,0.517,0.481,119,16.396,15.223,11.892,8.781,,,,0.103,0.113,,,,,,472148401241020145,0000,0,31nn,ABUU,,48.226053382323,3.4239379807472
4.644358,J030809.85+470233.8,47.041068,+47.042741,0.085,0.083,12,12.194,12.211,11.700,8.539,12.721,12.340,12.211,0.024,0.023,0.204,,0.022,0.030,0.025,480146901241028413,0000,0,00nn,AABU,0.020,47.0429388358624,3.1792164695589
3.949334,J030715.41+464845.1,46.814246,+46.812542,0.892,0.817,124,16.834,16.296,12.679,9.263,,,,0.139,,,,,,,458146901241021370,0000,0,nnnn,BUUU,,46.8135197147237,3.9240619880256
4.613573,J031114.36+474831.8,47.809872,+47.808853,0.738,0.674,122,16.657,16.576,12.362,9.020,,,,0.117,,0.362,,,,,472148401241002743,0000,0,nnnn,BUCU,,47.810122961988,3.796796901497
4.955710,J031112.07+474752.2,47.800308,+47.797851,0.346,0.306,121,15.811,15.305,11.663,9.284,,,,0.062,0.114,0.180,,,,,472148401241002915,0000,0,111n,ABBU,,47.7987251645811,4.0375944706715
3.466309,J030947.54+472658.5,47.448099,+47.449588,0.073,0.069,22,9.596,9.702,9.610,8.850,10.534,9.897,9.718,0.023,0.020,0.036,,0.018,0.017,0.019,480146901241046445,0000,0,000n,AAAU,0.115,47.4487227309513,3.9991659523665
4.162763,J031108.68+474717.6,47.786180,+47.788237,0.127,0.122,145,13.833,13.951,12.819,8.935,14.276,13.922,13.738,0.028,0.047,,,0.027,0.032,0.035,472148401241002383,0000,0,01nn,AAUU,0.070,47.7874744486064,4.183801388949
3.428699,J031129.48+475228.3,47.872841,+47.874548,0.191,0.183,124,14.787,14.583,12.242,8.745,16.636,15.659,15.285,0.038,0.069,,,0.153,0.125,0.138,472148401241002619,0000,0,01nn,AAUU,0.580,47.8739743025369,4.6346930904465
2.545433,J031114.36+474831.8,47.809872,+47.808853,0.738,0.674,122,16.657,16.576,12.362,9.020,,,,0.117,,0.362,,,,,472148401241002743,0000,0,nnnn,BUCU,,47.8088202170252,4.6552529213116
2.101227,J031840.15+494005.5,49.667331,+49.668203,0.126,0.121,134,13.569,13.363,12.228,9.233,14.504,13.896,13.592,0.030,0.037,,,0.036,0.040,0.041,487149901241018398,0000,0,00nn,AAUU,0.308,49.6682312969039,4.2245098592105
2.052076,J031615.39+490347.1,49.064145,+49.063110,0.405,0.363,119,15.798,16.400,11.849,8.962,16.517,15.702,15.540,0.067,0.358,0.240,,0.141,0.156,0.199,494148401241048857,0000,0,2nnn,ACBU,0.670,49.0634666324206,4.3530863873711
3.366611,J031630.28+490734.4,49.126187,+49.126249,1.016,0.907,115,16.917,16.695,12.663,9.141,,,,0.156,,,,,,,494148401241049442,0000,0,nnnn,BUUU,,49.1254482554711,4.4283290761577
2.866909,J031700.22+491508.2,49.250949,+49.252279,0.091,0.087,168,12.446,12.469,12.583,8.689,13.276,12.748,12.582,0.024,0.026,0.505,,0.023,0.027,0.027,487149901241002133,hh00,0,01nn,AACU,0.469,49.252153764657,4.5722855424799
3.613153,J031956.81+495905.8,49.986708,+49.984966,0.434,0.405,126,15.655,16.237,12.070,8.700,16.314,15.806,15.821,0.071,0.279,,,0.122,0.157,0.229,510149901241029613,0000,0,1nnn,ABUU,0.984,49.985185311249,4.2745733273578
3.171174,J031935.49+495347.0,49.897907,+49.896411,0.642,0.584,116,16.259,16.381,12.652,9.298,,,,0.103,0.346,0.462,,,,,487149901241021328,0000,0,2nnn,ABCU,,49.897140423892,4.6790891095473
1.931698,J031840.15+494005.5,49.667331,+49.668203,0.126,0.121,134,13.569,13.363,12.228,9.233,14.504,13.896,13.592,0.030,0.037,,,0.036,0.040,0.041,487149901241018398,0000,0,00nn,AAUU,0.308,49.6677349527691,4.6398327011401
3.910253,J031824.43+493612.1,49.601798,+49.603380,0.295,0.279,126,15.509,15.460,12.712,8.721,16.550,16.006,15.553,0.052,0.136,,,0.157,0.208,0.213,487149901241019654,0000,0,01nn,ABUU,0.893,49.602356420095,4.7520388926235
3.690325,J031918.74+494944.6,49.828117,+49.829079,0.964,0.888,124,16.510,16.504,12.800,8.815,,,,0.155,,,,,,,487149901241021415,0000,0,nnnn,BUUU,,49.8280549706315,5.2220747378929
2.049001,J031319.70+481952.6,48.332106,+48.331304,0.095,0.092,180,12.686,12.705,12.657,9.106,13.707,12.980,12.800,0.025,0.028,,,0.024,0.023,0.023,472148401241020900,0000,0,00nn,AAUU,0.078,48.3312529185329,4.5067407054973
4.922655,J031512.86+484821.5,48.803596,+48.805991,0.204,0.187,121,14.847,14.951,12.448,9.217,15.442,14.972,14.910,0.038,0.091,0.384,,0.062,0.080,0.106,494148401241033554,0000,0,00nn,AACU,0.186,48.8055727260415,4.7856315861071
2.166295,J031232.10+480758.5,48.133768,+48.132923,0.228,0.209,106,14.700,14.893,12.462,8.988,15.213,14.823,14.627,0.042,0.104,,,0.047,0.064,0.071,472148401241019203,0000,0,nnnn,AAUU,0.454,48.1328695040043,4.5717313609372
3.094357,J031618.26+490431.9,49.076115,+49.075547,1.124,1.027,114,17.155,17.072,12.686,9.205,,,,0.182,,0.482,,,,,494148401241049289,0000,0,nnnn,BUCU,,49.0750474075431,4.9521336993717
3.360401,J031725.79+492120.8,49.357479,+49.355795,0.145,0.137,145,14.111,14.179,12.812,8.944,14.780,14.312,14.131,0.030,0.052,,,0.034,0.045,0.056,487149901241002388,hh00,0,00nn,AAUU,0.086,49.3561616672813,5.2963090007138
2.707220,J031801.85+493032.6,49.507721,+49.509081,1.031,0.925,115,16.442,16.138,12.368,9.113,,,,0.173,,,,,,,487149901241019597,0000,0,nnnn,BUUU,,49.5085684307013,5.4761296892581
2.311572,J031614.02+490327.5,49.058433,+49.057666,0.099,0.097,145,12.779,12.782,11.937,8.552,13.576,13.157,12.993,0.025,0.030,0.269,,0.026,0.029,0.035,494148401241048066,0000,1,00nn,AABU,0.179,49.0574902118748,5.2479641673751
0.260576,J031627.22+490647.9,49.113445,+49.113325,1.043,0.912,116,16.934,16.382,12.638,8.670,,,,0.168,,0.532,,,,,494148401241049316,0000,0,nnnn,BUCU,,49.1133349644084,5.3108922358657
2.872046,J031559.74+490001.2,48.998934,+49.000354,0.410,0.372,127,15.410,15.978,12.592,8.693,15.768,15.281,15.197,0.066,0.261,,,0.076,0.107,0.143,494148401241048703,0000,0,1nnn,ABUU,0.855,49.0000698433558,5.5210703047598
1.594950,J031628.24+490702.3,49.117691,+49.117308,0.142,0.135,111,13.902,14.051,12.242,9.201,14.469,14.093,14.027,0.031,0.051,,,0.032,0.045,0.052,494148401241048249,0000,0,10nn,AAUU,0.039,49.1170964043921,5.4959960392281
4.467506,J031806.34+493139.3,49.526436,+49.527599,0.165,0.155,120,14.418,14.539,12.437,9.140,14.871,14.508,14.298,0.033,0.068,,,0.042,0.059,0.068,487149901241018648,0000,0,10nn,AAUU,0.156,49.5263594646342,5.7162021194351
2.056574,J030533.07+462319.4,46.387794,+46.388728,0.340,0.315,132,15.604,15.729,12.809,9.273,16.647,15.983,15.533,0.057,0.181,,,0.156,0.175,0.199,458146901241002946,0000,0,1nnn,ABUU,0.959,46.3882518767412,3.6042923058142
4.452566,J030702.69+464546.6,46.761212,+46.762948,0.149,0.142,147,14.140,14.359,12.740,9.210,14.580,14.259,14.129,0.030,0.066,,,0.031,0.048,0.051,458146901241018372,0000,0,00nn,AAUU,0.149,46.7630151833001,4.4594023807681
4.896017,J030958.50+472946.2,47.493758,+47.496182,0.426,0.375,118,15.673,15.376,12.870,8.844,16.483,15.833,15.443,0.075,0.125,,,0.125,0.143,0.152,480146901241047252,0000,0,0nnn,ABUU,0.393,47.4953477849652,4.6734329939694
4.760506,J030957.32+472919.8,47.488858,+47.488838,0.104,0.101,149,12.985,12.979,12.138,9.246,13.962,13.306,13.100,0.026,0.030,,,0.028,0.028,0.029,480146901241046598,0000,0,01nn,AAUU,0.235,47.4899398482315,4.8907498192835
0.778066,J031009.02+473216.6,47.537598,+47.537971,0.081,0.076,13,11.342,11.369,11.380,9.272,11.834,11.505,11.391,0.023,0.022,0.147,,0.020,0.017,0.019,480146901241046479,0000,0,00nn,AABU,0.185,47.5378087957788,4.947677568289
3.646027,J030651.60+464249.7,46.715023,+46.713814,0.209,0.194,128,14.934,14.886,12.582,9.275,16.426,15.533,15.152,0.039,0.089,,,0.131,0.124,0.145,458146901241018562,0000,0,11nn,AAUU,1.549,46.7135845033502,4.8451171311357
