# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Sep 18 13:39:13 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 6.00000 0.5714626312 2.3006634712    0.571 -0.105  3.5888  3.607    0  0.000  0.545     0.00     0.00 -1 -2.08e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.032 9.152 7.591 6.285 5.381 4.424 3.390 2.585 2.437
0.0152 0.01508 6.00000 0.5928860307 2.3162331581    0.593 -0.077  3.5936  3.614    0  0.000  0.545     0.00     0.00 -1 -2.16e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.962 9.019 7.450 6.150 5.259 4.344 3.332 2.534 2.392
0.0152 0.01508 6.00000 0.6000000238 2.3211214542    0.600 -0.067  3.5953  3.616    0  0.000  0.545     0.00     0.00 -1 -2.19e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.937 8.972 7.401 6.103 5.217 4.316 3.312 2.516 2.376
0.0152 0.01508 6.00000 0.6135630608 2.3300809860    0.613 -0.051  3.5978  3.620    0  0.000  0.545     0.00     0.00 -1 -2.23e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.898 8.898 7.324 6.030 5.150 4.271 3.279 2.487 2.350
0.0152 0.01508 6.00000 0.6360216737 2.3439548016    0.636 -0.024  3.6023  3.627    0  0.000  0.545     0.00     0.00 -1 -2.31e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.831 8.765 7.193 5.906 5.038 4.196 3.223 2.439 2.306
0.0152 0.01508 6.00000 0.6499999762 2.3520355225    0.650 -0.008  3.6052  3.631    0  0.000  0.545     0.00     0.00 -1 -2.37e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.789 8.678 7.110 5.829 4.968 4.149 3.189 2.410 2.280
0.0152 0.01508 6.00000 0.6630716920 2.3592386246    0.663  0.008  3.6075  3.634    0  0.000  0.545     0.00     0.00 -1 -2.42e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.751 8.603 7.039 5.764 4.908 4.108 3.157 2.383 2.255
0.0152 0.01508 6.00000 0.6878327727 2.3720240593    0.688  0.037  3.6122  3.639    0  0.000  0.545     0.00     0.00 -1 -2.53e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.678 8.456 6.902 5.638 4.794 4.028 3.095 2.330 2.207
0.0152 0.01508 6.00000 0.7000000477 2.3779268265    0.700  0.051  3.6145  3.642    0  0.000  0.545     0.00     0.00 -1 -2.58e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.642 8.381 6.835 5.576 4.738 3.988 3.065 2.304 2.184
0.0152 0.01508 6.00000 0.7315324545 2.3921790123    0.732  0.100  3.6271  3.662    0  0.000  0.540     0.00     0.00 -1 -2.77e-13      0.00 7.092e-01 2.755e-01 2.723e-03 7.402e-04 6.720e-03 -1.000 1.527e-02 4.519 8.030 6.546 5.325 4.517 3.850 2.973 2.242 2.133
